transcript_id,segment_id,segment_index,source_line_start,source_line_end,speaker_start,turn_ids,turn_indexes,body_line_count,source_line_count,assistant_processing_seconds,user_response_seconds,valid_atomic_elapsed_seconds,back_and_forth_count,orphan,interrupted,candidate_commit_ids,candidate_plan_ids,review_status
transcript-2026-02-27-1-1-FLACBridgeExecution,transcript-2026-02-27-1-1-FLACBridgeExecution:segment-001,1,10,89,User,"[""transcript-2026-02-27-1-1-FLACBridgeExecution:turn-001"", ""transcript-2026-02-27-1-1-FLACBridgeExecution:turn-002"", ""transcript-2026-02-27-1-1-FLACBridgeExecution:turn-003""]","[1, 2, 3]",72,80,0.0,0.0,0.0,1,False,False,"[""1fcd08274065e59e148cb05d16e592e98f02bced"", ""4f1e2732dc317203bf9fd6f998fe4946be3a760c"", ""6cf4772cd3482a0a7ca38f2f613ca64a86da22a1"", ""80b722ee0e77887149ebfd307538cac12a5907c3"", ""ee7e8faab965a7c2c39bc3ec3f698594d9ce8101"", ""0539816b5ba23a6e25ff44d6be08444b0f8dd6c7"", ""063c138d4ad746588a85c0be70cc1c5c75854e87"", ""0c2d38575541a8dada750da08698d78e75a4d3f0"", ""1071c2e0ffd3bbc279f2cca6e15509e725518e25"", ""11ba78598b25840b5e415e7410b8df4b75c964c5"", ""1276536d7ce542d757187ed8e2a7a229c6741847"", ""19369540b1a2f92b3ab4fd1cedb4db7cefe41498"", ""1b08404c005806083a5443603d98c10c5510ee70"", ""1c2bb82cfcda4a8e4043b7e883e42928b18064cf"", ""24428a1548324e06268c9174e358e22e9559801b"", ""27b32d888ac16fcaa31f6735b29d960131a8315c""]","[""1""]",reviewed
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:segment-001,1,12,30,User,"[""transcript-2026-03-02-1-MiscTagEditorDev:turn-001"", ""transcript-2026-03-02-1-MiscTagEditorDev:turn-002""]","[1, 2]",13,19,0.0,0.0,0.0,1,False,False,"[""80b722ee0e77887149ebfd307538cac12a5907c3"", ""c965c3feb354452704670af683ab541da3c43f71"", ""03227c22ec04d4a16f48e8159bca42426af9eac7"", ""0539816b5ba23a6e25ff44d6be08444b0f8dd6c7"", ""063c138d4ad746588a85c0be70cc1c5c75854e87"", ""0c2d38575541a8dada750da08698d78e75a4d3f0"", ""11ba78598b25840b5e415e7410b8df4b75c964c5"", ""1276536d7ce542d757187ed8e2a7a229c6741847"", ""19369540b1a2f92b3ab4fd1cedb4db7cefe41498"", ""1b08404c005806083a5443603d98c10c5510ee70"", ""1c2bb82cfcda4a8e4043b7e883e42928b18064cf"", ""24428a1548324e06268c9174e358e22e9559801b"", ""27b32d888ac16fcaa31f6735b29d960131a8315c"", ""27b4d85ec22c4165acb415ef3929bd10d4c35202"", ""29444d740b06ee147a5690f1070d56abfa8be162"", ""2976159836a41160b0a462b26c952968c19a7923""]",[],reviewed
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:segment-002,2,31,41,User,"[""transcript-2026-03-02-1-MiscTagEditorDev:turn-003"", ""transcript-2026-03-02-1-MiscTagEditorDev:turn-004""]","[3, 4]",5,11,0.0,0.0,0.0,1,False,False,"[""80b722ee0e77887149ebfd307538cac12a5907c3"", ""c965c3feb354452704670af683ab541da3c43f71"", ""03227c22ec04d4a16f48e8159bca42426af9eac7"", ""0539816b5ba23a6e25ff44d6be08444b0f8dd6c7"", ""063c138d4ad746588a85c0be70cc1c5c75854e87"", ""0c2d38575541a8dada750da08698d78e75a4d3f0"", ""11ba78598b25840b5e415e7410b8df4b75c964c5"", ""1276536d7ce542d757187ed8e2a7a229c6741847"", ""19369540b1a2f92b3ab4fd1cedb4db7cefe41498"", ""1b08404c005806083a5443603d98c10c5510ee70"", ""1c2bb82cfcda4a8e4043b7e883e42928b18064cf"", ""24428a1548324e06268c9174e358e22e9559801b"", ""27b32d888ac16fcaa31f6735b29d960131a8315c"", ""27b4d85ec22c4165acb415ef3929bd10d4c35202"", ""29444d740b06ee147a5690f1070d56abfa8be162"", ""2976159836a41160b0a462b26c952968c19a7923""]",[],reviewed
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:segment-003,3,42,55,User,"[""transcript-2026-03-02-1-MiscTagEditorDev:turn-005"", ""transcript-2026-03-02-1-MiscTagEditorDev:turn-006""]","[5, 6]",8,14,0.0,0.0,0.0,1,False,False,"[""80b722ee0e77887149ebfd307538cac12a5907c3"", ""c965c3feb354452704670af683ab541da3c43f71"", ""03227c22ec04d4a16f48e8159bca42426af9eac7"", ""0539816b5ba23a6e25ff44d6be08444b0f8dd6c7"", ""063c138d4ad746588a85c0be70cc1c5c75854e87"", ""0c2d38575541a8dada750da08698d78e75a4d3f0"", ""11ba78598b25840b5e415e7410b8df4b75c964c5"", ""1276536d7ce542d757187ed8e2a7a229c6741847"", ""19369540b1a2f92b3ab4fd1cedb4db7cefe41498"", ""1b08404c005806083a5443603d98c10c5510ee70"", ""1c2bb82cfcda4a8e4043b7e883e42928b18064cf"", ""24428a1548324e06268c9174e358e22e9559801b"", ""27b32d888ac16fcaa31f6735b29d960131a8315c"", ""27b4d85ec22c4165acb415ef3929bd10d4c35202"", ""29444d740b06ee147a5690f1070d56abfa8be162"", ""2976159836a41160b0a462b26c952968c19a7923""]",[],reviewed
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:segment-004,4,56,61,User,"[""transcript-2026-03-02-1-MiscTagEditorDev:turn-007""]",[7],3,6,0.0,0.0,0.0,0,False,False,"[""80b722ee0e77887149ebfd307538cac12a5907c3"", ""c965c3feb354452704670af683ab541da3c43f71"", ""03227c22ec04d4a16f48e8159bca42426af9eac7"", ""0539816b5ba23a6e25ff44d6be08444b0f8dd6c7"", ""063c138d4ad746588a85c0be70cc1c5c75854e87"", ""0c2d38575541a8dada750da08698d78e75a4d3f0"", ""11ba78598b25840b5e415e7410b8df4b75c964c5"", ""1276536d7ce542d757187ed8e2a7a229c6741847"", ""19369540b1a2f92b3ab4fd1cedb4db7cefe41498"", ""1b08404c005806083a5443603d98c10c5510ee70"", ""1c2bb82cfcda4a8e4043b7e883e42928b18064cf"", ""24428a1548324e06268c9174e358e22e9559801b"", ""27b32d888ac16fcaa31f6735b29d960131a8315c"", ""27b4d85ec22c4165acb415ef3929bd10d4c35202"", ""29444d740b06ee147a5690f1070d56abfa8be162"", ""2976159836a41160b0a462b26c952968c19a7923""]",[],reviewed
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:segment-005,5,62,86,User,"[""transcript-2026-03-02-1-MiscTagEditorDev:turn-008"", ""transcript-2026-03-02-1-MiscTagEditorDev:turn-009""]","[8, 9]",19,25,0.0,0.0,0.0,1,False,False,"[""80b722ee0e77887149ebfd307538cac12a5907c3"", ""c965c3feb354452704670af683ab541da3c43f71"", ""03227c22ec04d4a16f48e8159bca42426af9eac7"", ""0539816b5ba23a6e25ff44d6be08444b0f8dd6c7"", ""063c138d4ad746588a85c0be70cc1c5c75854e87"", ""0c2d38575541a8dada750da08698d78e75a4d3f0"", ""11ba78598b25840b5e415e7410b8df4b75c964c5"", ""1276536d7ce542d757187ed8e2a7a229c6741847"", ""19369540b1a2f92b3ab4fd1cedb4db7cefe41498"", ""1b08404c005806083a5443603d98c10c5510ee70"", ""1c2bb82cfcda4a8e4043b7e883e42928b18064cf"", ""24428a1548324e06268c9174e358e22e9559801b"", ""27b32d888ac16fcaa31f6735b29d960131a8315c"", ""27b4d85ec22c4165acb415ef3929bd10d4c35202"", ""29444d740b06ee147a5690f1070d56abfa8be162"", ""2976159836a41160b0a462b26c952968c19a7923""]",[],reviewed
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:segment-006,6,87,101,User,"[""transcript-2026-03-02-1-MiscTagEditorDev:turn-010"", ""transcript-2026-03-02-1-MiscTagEditorDev:turn-011""]","[10, 11]",9,15,0.0,0.0,0.0,1,False,False,"[""80b722ee0e77887149ebfd307538cac12a5907c3"", ""c965c3feb354452704670af683ab541da3c43f71"", ""03227c22ec04d4a16f48e8159bca42426af9eac7"", ""0539816b5ba23a6e25ff44d6be08444b0f8dd6c7"", ""063c138d4ad746588a85c0be70cc1c5c75854e87"", ""0c2d38575541a8dada750da08698d78e75a4d3f0"", ""11ba78598b25840b5e415e7410b8df4b75c964c5"", ""1276536d7ce542d757187ed8e2a7a229c6741847"", ""19369540b1a2f92b3ab4fd1cedb4db7cefe41498"", ""1b08404c005806083a5443603d98c10c5510ee70"", ""1c2bb82cfcda4a8e4043b7e883e42928b18064cf"", ""24428a1548324e06268c9174e358e22e9559801b"", ""27b32d888ac16fcaa31f6735b29d960131a8315c"", ""27b4d85ec22c4165acb415ef3929bd10d4c35202"", ""29444d740b06ee147a5690f1070d56abfa8be162"", ""2976159836a41160b0a462b26c952968c19a7923""]",[],reviewed
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:segment-007,7,102,124,User,"[""transcript-2026-03-02-1-MiscTagEditorDev:turn-012"", ""transcript-2026-03-02-1-MiscTagEditorDev:turn-013""]","[12, 13]",17,23,0.0,0.0,0.0,1,False,False,"[""80b722ee0e77887149ebfd307538cac12a5907c3"", ""c965c3feb354452704670af683ab541da3c43f71"", ""03227c22ec04d4a16f48e8159bca42426af9eac7"", ""0539816b5ba23a6e25ff44d6be08444b0f8dd6c7"", ""063c138d4ad746588a85c0be70cc1c5c75854e87"", ""0c2d38575541a8dada750da08698d78e75a4d3f0"", ""11ba78598b25840b5e415e7410b8df4b75c964c5"", ""1276536d7ce542d757187ed8e2a7a229c6741847"", ""19369540b1a2f92b3ab4fd1cedb4db7cefe41498"", ""1b08404c005806083a5443603d98c10c5510ee70"", ""1c2bb82cfcda4a8e4043b7e883e42928b18064cf"", ""24428a1548324e06268c9174e358e22e9559801b"", ""27b32d888ac16fcaa31f6735b29d960131a8315c"", ""27b4d85ec22c4165acb415ef3929bd10d4c35202"", ""29444d740b06ee147a5690f1070d56abfa8be162"", ""2976159836a41160b0a462b26c952968c19a7923""]",[],reviewed
transcript-2026-03-02-1-MiscTagEditorDev,transcript-2026-03-02-1-MiscTagEditorDev:segment-008,8,125,146,User,"[""transcript-2026-03-02-1-MiscTagEditorDev:turn-014"", ""transcript-2026-03-02-1-MiscTagEditorDev:turn-015""]","[14, 15]",17,22,0.0,0.0,0.0,1,False,False,"[""80b722ee0e77887149ebfd307538cac12a5907c3"", ""c965c3feb354452704670af683ab541da3c43f71"", ""03227c22ec04d4a16f48e8159bca42426af9eac7"", ""0539816b5ba23a6e25ff44d6be08444b0f8dd6c7"", ""063c138d4ad746588a85c0be70cc1c5c75854e87"", ""0c2d38575541a8dada750da08698d78e75a4d3f0"", ""11ba78598b25840b5e415e7410b8df4b75c964c5"", ""1276536d7ce542d757187ed8e2a7a229c6741847"", ""19369540b1a2f92b3ab4fd1cedb4db7cefe41498"", ""1b08404c005806083a5443603d98c10c5510ee70"", ""1c2bb82cfcda4a8e4043b7e883e42928b18064cf"", ""24428a1548324e06268c9174e358e22e9559801b"", ""27b32d888ac16fcaa31f6735b29d960131a8315c"", ""27b4d85ec22c4165acb415ef3929bd10d4c35202"", ""29444d740b06ee147a5690f1070d56abfa8be162"", ""2976159836a41160b0a462b26c952968c19a7923""]",[],reviewed
transcript-2026-03-03-1-MiscTagEditorDev,transcript-2026-03-03-1-MiscTagEditorDev:segment-001,1,12,36,User,"[""transcript-2026-03-03-1-MiscTagEditorDev:turn-001"", ""transcript-2026-03-03-1-MiscTagEditorDev:turn-002""]","[1, 2]",19,25,0.0,0.0,0.0,1,False,False,"[""80b722ee0e77887149ebfd307538cac12a5907c3"", ""2302109d0c43a41cb71c36e47cf2b4b8973a63d6"", ""b5b4f12719bcc1df96078cbbc79157c47985e637"", ""9fea9987c80b7709896d6a46e750b0a0c7925c30"", ""03227c22ec04d4a16f48e8159bca42426af9eac7"", ""0539816b5ba23a6e25ff44d6be08444b0f8dd6c7"", ""063c138d4ad746588a85c0be70cc1c5c75854e87"", ""0c2d38575541a8dada750da08698d78e75a4d3f0"", ""11ba78598b25840b5e415e7410b8df4b75c964c5"", ""1276536d7ce542d757187ed8e2a7a229c6741847"", ""19369540b1a2f92b3ab4fd1cedb4db7cefe41498"", ""1b08404c005806083a5443603d98c10c5510ee70"", ""1c2bb82cfcda4a8e4043b7e883e42928b18064cf"", ""2298c43c00492de67ad920a395d3ec7a8c8fb722"", ""24428a1548324e06268c9174e358e22e9559801b"", ""25fde2c3d0c01acd97eb967b5903f6336c57b6ae""]",[],reviewed
